coarse_agg_weight,fine_agg_weight,current_weight,fly_ash_weight,AEA_dose,type_awra_dose,W/(C+P),design_strength,actual_strength,poor_strength,overdesign
11940,12120,3456,1040,0.39,0,0.47,3000,5820,no,1.94
14970,14840,4290,1245,0.39,0,0.48,3000,6460,no,2.153333333
17030,14830,5095,0,0,0,0.51,3000,5060,no,1.686666667
16980,14880,5100,0,0,0,0.51,3000,5330,no,1.776666667
17040,14820,3996,702,0.34,4,0.5,3000,5550,no,1.85
17040,14850,4008,702,0.3,3.99,0.52,3000,4440,no,1.48
17130,14880,3996,702,0.4,3.92,0.51,3000,4630,no,1.543333333
17040,14670,3996,702,0.45,4,0.51,3000,3000,no,1
13650,11940,3192,564,0.4,3.94,0.5,3000,4030,no,1.343333333
17010,14850,3996,696,0.38,4.01,0.5,3000,4480,no,1.493333333
17040,14580,4008,702,0.3,3.99,0.51,3000,3960,no,1.32
17040,14700,4008,702,0.38,3.91,0.51,3000,4530,no,1.51
10170,8850,2394,426,0.28,3.97,0.5,3000,4430,no,1.476666667
17010,14850,4014,702,0.34,3.9,0.48,3000,3480,no,1.16
17070,14670,3996,702,0.32,4,0.47,3000,4440,no,1.48
16980,14730,4002,702,0.45,4.08,0.5,3000,4050,no,1.35
1698,1414,400,70,0.87,4,0.55,3000,5170,no,1.723333333
17200,15175,4015,705,0.33,3.9,0.43,3000,3810,no,1.27
17025,14475,4005,695,0.43,3.91,0.47,3000,4050,no,1.35
8500,7325,2000,350,0.45,4.09,0.49,3000,4150,no,1.383333333
8475,7500,2035,345,0.53,4.03,0.5,3000,3730,no,1.243333333
1698,1414,400,70,0.87,4,0.55,3000,5960,no,1.986666667
11680,10160,2805,555,0.49,3.84,0.49,3000,6180,no,2.06
18240,16140,4385,810,0.39,4.04,0.51,3000,4350,no,1.45
16720,14460,3980,735,0.29,3.88,0.51,3000,4480,no,1.493333333
18300,15960,4445,775,0.3,3.97,0.49,3000,4850,no,1.616666667
7440,6580,1865,325,0.44,3.84,0.49,3000,4530,no,1.51
16520,14760,3995,770,0.31,3.84,0.5,3000,3610,no,1.203333333
13360,11700,3195,565,0.34,3.99,0.52,3000,3900,no,1.3
16925,14425,4005,690,0.26,4,0.48,3000,3450,no,1.15
17050,14725,3985,690,0.19,4.06,0.5,3000,3620,no,1.206666667
18625,16250,4385,755,0.21,4.01,0.48,3000,2470,yes,0.823333333
17340,14130,3900,984,0.8,5,0.5,3000,3710,no,1.236666667
14610,12210,3312,852,0.38,4.9,0.48,3000,4620,no,1.54
14640,12390,3318,840,0.36,4.04,0.47,3000,7910,no,2.636666667
17220,14340,3912,996,0.39,4.07,0.49,3000,3950,no,1.316666667
17190,14430,3894,984,0.41,4.02,0.43,3000,4320,no,1.44
16290,13680,3696,936,0.47,3.97,0.47,3000,4420,no,1.473333333
18120,14880,4086,1032,0.39,3.99,0.48,3000,3280,no,1.093333333
17298,14328,3896,980,0.39,4.06,0.49,3000,3900,no,1.3
17250,14375,3915,990,0.42,4,0.45,3000,4470,no,1.49
15650,12950,3555,895,0.35,3.96,0.47,3000,6530,no,2.176666667
17175,14475,3895,985,0.34,4.1,0.51,3000,5140,no,1.713333333
17250,14700,3895,995,0.36,4.01,0.46,3000,3310,no,1.103333333
1716,1376,390,99,0.91,4.04,0.52,3000,4650,no,1.55
17460,14340,3925,985,0.35,3.97,0.47,3000,4400,no,1.466666667
16760,14300,3940,995,0.39,4.01,0.45,3000,4170,no,1.39
17350,14625,3900,1000,0.22,4.06,0.46,3000,3880,no,1.293333333
16600,14300,3895,990,0.37,4.05,0.48,3000,3800,no,1.266666667
15480,12980,3505,880,0.62,4.1,0.49,3000,3650,no,1.216666667
15480,12980,3505,880,0.62,4.1,0.49,3000,4600,no,1.533333333
17220,14420,3880,1000,0.45,4.06,0.47,3000,3070,no,1.023333333
17540,14320,3930,1000,0.45,3.94,0.48,3000,3870,no,1.29
17180,14460,3865,975,0.37,4.09,0.49,3000,3710,no,1.236666667
17180,14460,3915,990,0.41,4,0.45,3000,7290,no,2.43
16975,14625,3885,990,0.49,4.02,0.5,3000,4250,no,1.416666667
17000,14600,3905,995,0.57,4,0.5,3000,3340,no,1.113333333
17175,14550,3900,1000,0.69,3.92,0.48,3000,2220,yes,0.74
17175,14400,3890,990,0.51,4,0.48,3000,3530,no,1.176666667
17175,14375,3895,990,0.45,3.99,0.46,3000,3930,no,1.31
17175,14600,4010,985,0.3,3.9,0.47,3000,4920,no,1.64
17020,14200,3905,995,0.38,4,0.48,3000,4460,no,1.486666667
